batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
Kamran Akmalʠ,21,17,4,0,123.52,c Mohammad Ilyas b Abbas Afridi,2021,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Kamran Akmalʠ,2,7,0,0,28.57,b Mohammad Irfan,2020,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
Kamran Akmalʠ,1,5,0,0,20.00,c Haris Rauf b Faulkner,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
Kamran Akmalʠ,86,48,10,5,179.16,c Umer Khan b Munro,2019,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Kamran Akmalʠ,22,26,4,0,84.61,c Rossouw b Mohammad Hasnain,2019,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Kamran Akmalʠ,59,37,6,2,159.45,lbw b Mohammad Hasnain,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators
Kamran Akmalʠ,74,43,10,3,172.09,c Shadab Khan b Delport,2019,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Kamran Akmalʠ,35,27,5,0,129.62,c Imran Tahir b Shahnawaz Dahani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
Kamran Akmalʠ,21,15,3,1,140.00,b Mohammad Nawaz,,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Kamran Akmalʠ,9,9,2,0,100.00,b Aamer Yamin,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
Kamran Akmalʠ,53,32,7,2,165.62,c Iftikhar Ahmed b Hussain Talat,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Islamabad United
Kamran Akmalʠ,13,12,2,0,108.33,b Noor Ahmad,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
Kamran Akmalʠ,8,6,2,0,133.33,b Hasan Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Islamabad United
Kamran Akmalʠ,36,28,5,1,128.57,b Imran Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
Kamran Akmalʠ,41,24,4,2,170.83,b Zaman Khan,2022,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
Kamran Akmalʠ,21,19,2,0,110.52,c Mohammad Nabi b Umaid Asif,2022,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Kamran Akmalʠ,10,7,2,0,142.85,c Khushdil Shah b Shahnawaz Dahani,2022,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
Kamran Akmalʠ,4,7,0,0,57.14,c Shahnawaz Dahani b Muzarabani,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Multan Sultans
Kamran Akmalʠ,18,14,1,1,128.57,b Fawad Ahmed,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
Dwayne Smith,24,23,3,1,104.34,c Pollard b Imran Tahir,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
Dwayne Smith,55,49,8,1,112.24,c Jordan b Junaid Khan,2017,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Dwayne Smith,31,29,4,0,106.89,b Elliott,2017,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Dwayne Smith,30,21,1,2,142.85,c & b Faheem Ashraf,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
