batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
Imran Tahir,7,4,1,0,175.00,not out,2018,Sharjah Cricket Stadium,Multan Sultans,Islamabad United
Imran Tahir,3,2,0,0,150.00,not out,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Islamabad United
Imran Tahir,14,8,1,1,175.00,run out (Zahid Mahmood/†Sarfaraz Ahmed),2021,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
Imran Tahir,1,2,0,0,50.00,c Fakhar Zaman b Dilbar Hussain,2020,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
Imran Tahir,4,2,1,0,200.00,c Sohail Akhtar b Faulkner,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Lahore Qalandars
Imran Tahir,3,9,0,0,33.33,c Brook b Zaman Khan,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Imran Tahir,10,7,2,0,142.85,c Haris Rauf b Wiese,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Sahibzada Farhan,9,7,2,0,128.57,b Imran Tahir,2018,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Sahibzada Farhan,6,16,0,0,37.50,c Narine b Sohail Khan,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Sahibzada Farhan,3,4,0,0,75.00,not out,2018,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Sahibzada Farhan,29,18,0,3,161.11,c Shahid Afridi b Mills,2018,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Sahibzada Farhan,44,33,5,1,133.33,c Hasan Ali b Wahab Riaz,2018,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Sahibzada Farhan,15,18,1,0,83.33,c Dawson b Sameen Gul,2019,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Sahibzada Farhan,30,28,4,0,107.14,b Imad Wasim,2019,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Sahibzada Farhan,4,8,0,0,50.00,st †Umar Siddiq b Nauman Ali,2019,Dubai International Cricket Stadium,Islamabad United,Multan Sultans
Sahibzada Farhan,8,5,0,1,160.00,b Haris Rauf,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Sahibzada Farhan,57,36,8,1,158.33,c †Azam Khan b Mills,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Sahibzada Farhan,1,2,0,0,50.00,not out,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
Sahibzada Farhan,17,21,2,0,80.95,c Rahmanullah Gurbaz b Waqas Maqsood,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Islamabad United
Sahibzada Farhan,72,45,4,4,160.00,not out,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Sahibzada Farhan,15,12,3,0,125.00,c Haseebullah Khan b Naveen-ul-Haq,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Sahibzada Farhan,25,22,4,0,113.63,c Roy b Abrar Ahmed,2024,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Khalid Latif,39,35,1,2,111.42,b Bopara,2016,Dubai International Cricket Stadium,Islamabad United,Karachi Kings
Khalid Latif,6,10,0,0,60.00,lbw b Mohammad Nabi,2016,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Khalid Latif,59,41,1,4,143.90,c Tamim Iqbal b Wahab Riaz,2016,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Khalid Latif,33,35,1,3,94.28,st †Mushfiqur Rahim b Usama Mir,2016,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Khalid Latif,25,24,2,0,104.16,run out (Azhar Ali/†Mohammad Rizwan),2016,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Khalid Latif,28,21,3,0,133.33,not out,2016,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Khalid Latif,16,7,3,0,228.57,c Zulfiqar Babar b Anwar Ali,2016,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Saifullah Bangash †,0,1,0,0,0.00,c Imran Khalid b Saeed Ajmal,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
Saifullah Bangash †,0,1,0,0,0.00,not out,2016,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Usama Mir,10,9,1,0,111.11,run out (†Billings),2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
Usama Mir,4,1,1,0,400.00,not out,2017,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars
Usama Mir,1,1,0,0,100.00,run out (†Kamran Akmal),2016,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Usama Mir,0,1,0,0,0.00,b Zulfiqar Babar,2016,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators
Usama Mir,2,1,0,0,200.00,not out,2016,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi
Usama Mir,1,2,0,0,50.00,c Rumman Raees b Mohammad Sami,2017,Sharjah Cricket Stadium,Karachi Kings,Islamabad United
Usama Mir,0,1,0,0,0.00,c Russell b Mohammad Sami,2016,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
Usama Mir,9,11,1,0,81.81,b Umaid Asif,2018,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi
Usama Mir,1,2,0,0,50.00,not out,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Usama Mir,0,0,0,0,-,run out (Dawson/Zaman Khan),2023,Multan Cricket Stadium,Multan Sultans,Lahore Qalandars
Usama Mir,10,6,0,1,166.66,c Cutting b Shamsi,2023,"National Stadium, Karachi",Multan Sultans,Karachi Kings
Usama Mir,12,3,0,2,400.00,c Walter b Arif Yaqoob,2024,Multan Cricket Stadium,Multan Sultans,Peshawar Zalmi
Usama Mir,17,11,1,1,154.54,b Rashid Khan,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Usama Mir,11,3,1,1,366.66,not out,2023,Rawalpindi Cricket Stadium,Multan Sultans,Peshawar Zalmi
Usama Mir,0,1,0,0,0.00,c Haris Rauf b Shaheen Shah Afridi,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Usama Mir,6,2,0,1,300.00,c Hunain Shah b Shadab Khan,2024,"National Stadium, Karachi",Multan Sultans,Islamabad United
Mahmudullah,29,20,2,1,145.00,not out,2017,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United
Mahmudullah,15,13,0,1,115.38,c †Sangakkara b Mohammad Irfan,2018,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
Mahmudullah,8,4,1,0,200.00,not out,2017,Dubai International Cricket Stadium,Quetta Gladiators,Karachi Kings
Mahmudullah,0,2,0,0,0.00,b Wahab Riaz,2017,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Mahmudullah,19,20,3,0,95.00,b Umaid Asif,2018,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Ibtisam Sheikh,2,6,0,0,33.33,run out (Mohammad Irfan),2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Ibtisam Sheikh,0,0,0,0,-,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Umaid Asif,7,5,0,1,140.00,lbw b Shahid Afridi,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Umaid Asif,0,0,0,0,-,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
Umaid Asif,25,17,1,2,147.05,c Patel b Faheem Ashraf,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Umaid Asif,7,6,1,0,116.66,c Asad Shafiq b Rahat Ali,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Umaid Asif,0,1,0,0,0.00,lbw b Shadab Khan,2018,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Umaid Asif,9,4,2,0,225.00,b Mohammad Hasnain,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Umaid Asif,0,0,0,0,-,not out,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Umaid Asif,0,1,0,0,0.00,c Faheem Ashraf b Mohammad Sami,2019,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Umaid Asif,20,11,0,2,181.81,c Bopara b Sohail Tanvir,2020,Multan Cricket Stadium,Karachi Kings,Multan Sultans
Umaid Asif,13,6,1,1,216.66,not out,2020,"National Stadium, Karachi",Karachi Kings,Islamabad United
Umaid Asif,23,12,0,3,191.66,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
Umaid Asif,4,1,1,0,400.00,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
Umaid Asif,20,9,2,1,222.22,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Islamabad United
Umaid Asif,0,1,0,0,0.00,not out,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Umaid Asif,10,10,2,0,100.00,c †Azam Khan b Waqas Maqsood,2022,"National Stadium, Karachi",Karachi Kings,Islamabad United
Umaid Asif,11,6,1,1,183.33,not out,2023,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Umaid Asif,2,3,0,0,66.66,not out,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
Umaid Asif,0,1,0,0,0.00,c Pollard b Abbas Afridi,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Multan Sultans
Mohammad Asghar,0,2,0,0,0.00,not out,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Mohammad Asghar,1,1,0,0,100.00,not out,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Mohammad Asghar,0,2,0,0,0.00,b Russell,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Akbar-ur-Rehman,11,11,1,0,100.00,st †Kamran Akmal b Mohammad Asghar,2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Akbar-ur-Rehman,3,4,0,0,75.00,st †Mohammad Rizwan b Zafar Gohar,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Akbar-ur-Rehman,1,4,0,0,25.00,c Shahid Yousuf b Shahid Afridi,2016,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Mohammad Nabi,9,9,1,0,100.00,c †Kamran Akmal b Wahab Riaz,2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Mohammad Nabi,6,6,0,0,100.00,c Umar Akmal b Zafar Gohar,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Mohammad Nabi,2,10,0,0,20.00,c Shahid Yousuf b Shahid Afridi,2016,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Mohammad Nabi,30,12,3,2,250.00,not out,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Mohammad Nabi,30,14,2,3,214.28,not out,2021,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Mohammad Nabi,7,5,0,1,140.00,c Zafar Gohar b Hussain Talat,2021,"National Stadium, Karachi",Karachi Kings,Islamabad United
Mohammad Nabi,13,8,2,0,162.50,not out,2021,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Mohammad Nabi,57,35,4,3,162.85,c Sohail Akhtar b Haris Rauf,2021,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Mohammad Nabi,67,35,8,4,191.42,c Kohler-Cadmore b Mahmood,2021,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Mohammad Nabi,10,17,0,0,58.82,c & b Imran Tahir,2022,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Mohammad Nabi,0,1,0,0,0.00,c †Sarfaraz Ahmed b Naseem Shah,2022,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Mohammad Nabi,15,14,2,0,107.14,c Shaheen Shah Afridi b Zaman Khan,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Mohammad Nabi,10,10,1,0,100.00,c Shoaib Malik b Hussain Talat,2022,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Mohammad Nabi,47,28,5,2,167.85,not out,2022,"National Stadium, Karachi",Karachi Kings,Islamabad United
Mohammad Nabi,15,11,2,0,136.36,c Cutting b Mohammad Umar,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
Mohammad Nabi,3,3,0,0,100.00,b Asif Ali,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Islamabad United
Mohammad Nabi,21,15,1,1,140.00,c David b Shahnawaz Dahani,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Multan Sultans
Mohammad Nabi,8,12,0,0,66.66,b Mohammad Hafeez,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Elton Chigumbura,7,8,1,0,87.50,not out,2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Elton Chigumbura,3,4,0,0,75.00,c Azhar Ali b Mendis,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Elton Chigumbura,0,1,0,0,0.00,lbw b Shahid Afridi,2016,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Denesh Ramdin †,11,19,0,0,57.89,c Denly b Mohammad Irfan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Denesh Ramdin †,4,7,0,0,57.14,c †Ronchi b Mohammad Sami,2018,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Denesh Ramdin †,0,1,0,0,0.00,lbw b Dawson,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Denesh Ramdin †,9,20,0,0,45.00,b Faheem Ashraf,2018,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Salman Agha,15,17,1,0,88.23,c Mills b Usman Shinwari,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Salman Agha,48,35,6,2,137.14,c Patel b Mohammad Sami,2018,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United
Salman Agha,13,12,2,0,108.33,c †Kamran Akmal b Sameen Gul,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Salman Agha,8,13,0,0,61.53,c Sahibzada Farhan b Shadab Khan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United
Salman Agha,3,8,0,0,37.50,c †Sangakkara b Mohammad Irfan,2018,Dubai International Cricket Stadium,Lahore Qalandars,Multan Sultans
Salman Agha,50,45,4,1,111.11,c Simmons b Usman Shinwari,2018,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings
Salman Agha,1,2,0,0,50.00,b Mir Hamza,2018,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators
Salman Agha,28,25,0,2,112.00,c Dawson b Wahab Riaz,2018,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Salman Agha,13,18,1,0,72.22,c Ibtisam Sheikh b Wahab Riaz,2019,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Salman Agha,2,6,0,0,33.33,c †Umar Siddiq b Junaid Khan,2019,Sharjah Cricket Stadium,Lahore Qalandars,Multan Sultans
Salman Agha,21,16,4,0,131.25,b Amad Butt,2021,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Salman Agha,3,6,0,0,50.00,c Shadab Khan b Faheem Ashraf,2019,"National Stadium, Karachi",Lahore Qalandars,Islamabad United
Salman Agha,1,2,0,0,50.00,run out (Danish Aziz),2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Karachi Kings
Salman Agha,13,15,1,0,86.66,c †Mohammad Rizwan b Muzarabani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Multan Sultans
Salman Agha,64,31,7,3,206.45,not out,2024,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Salman Agha,52,43,3,2,120.93,c Khushdil Shah b Abbas Afridi,2024,Multan Cricket Stadium,Islamabad United,Multan Sultans
Salman Agha,33,23,5,0,143.47,c Khawaja Nafay b Abrar Ahmed,2024,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
Salman Agha,14,8,1,1,175.00,c Mohammad Haris b Saim Ayub,2024,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
Salman Agha,25,17,0,2,147.05,not out,2024,"National Stadium, Karachi",Islamabad United,Karachi Kings
Salman Agha,37,25,4,2,148.00,c †Mohammad Haris b Salman Irshad,2024,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
Salman Agha,4,3,1,0,133.33,c Hope b Zaman Khan,2024,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
Salman Agha,33,30,1,1,110.00,c †Seifert b Muzarabani,2024,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings
Salman Agha,2,5,0,0,40.00,c & b Mohammad Ali,2024,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
Salman Agha,31,21,2,1,147.61,c Roy b Saud Shakeel,2024,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Salman Agha,5,4,1,0,125.00,b Saim Ayub,2024,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Salman Agha,10,11,2,0,90.90,c & b Khushdil Shah,2024,"National Stadium, Karachi",Islamabad United,Multan Sultans
Umar Gul,0,1,0,0,0.00,c Umar Akmal b Zafar Gohar,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Umar Gul,2,3,0,0,66.66,c & b Wahab Riaz,2017,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Umar Gul,0,2,0,0,0.00,c Sammy b Mohammad Asghar,2016,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Umar Gul,10,6,0,1,166.66,c Asif Ali b Faheem Ashraf,2018,Sharjah Cricket Stadium,Multan Sultans,Islamabad United
Zulfiqar Babar,1,1,0,0,100.00,not out,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Zulfiqar Babar,0,1,0,0,0.00,c Wahab Riaz b Hasan Ali,2017,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Zulfiqar Babar,20,11,1,1,181.81,not out,2016,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Zulfiqar Babar,1,1,0,0,100.00,not out,2016,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Zulfiqar Babar,0,1,0,0,0.00,run out (†Kamran Akmal/Wahab Riaz),2016,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Zulfiqar Babar,1,2,0,0,50.00,b Hasan Ali,2017,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Jean-Paul Duminy,14,26,0,0,53.84,c Mohammad Nawaz b Hastings,2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Jean-Paul Duminy,34,36,3,1,94.44,lbw b Yasir Shah,2018,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Jean-Paul Duminy,43,44,5,0,97.72,not out,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Jean-Paul Duminy,21,17,3,1,123.52,c McCullum b Narine,2018,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars
Jean-Paul Duminy,73,54,6,4,135.18,not out,2018,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi
Jean-Paul Duminy,6,12,0,0,50.00,run out (Shoaib Malik),2018,Sharjah Cricket Stadium,Islamabad United,Multan Sultans
Jean-Paul Duminy,54,47,4,2,114.89,c Hassan Khan b Rahat Ali,2018,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Jean-Paul Duminy,4,9,1,0,44.44,lbw b Usman Shinwari,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Shane Watson (c),79,47,4,7,168.08,c †Mohammad Rizwan b Ehsan Adil,2016,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Shane Watson (c),40,28,3,3,142.85,c Ahmed Shehzad b Aizaz Cheema,2016,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
John Hastings,5,7,1,0,71.42,not out,2018,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
John Hastings,0,1,0,0,0.00,b Imran Tahir,2018,Sharjah Cricket Stadium,Quetta Gladiators,Multan Sultans
Sabbir Rahman,11,11,1,0,100.00,c Umar Amin b Rahat Ali,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Khalid Usman,7,9,0,0,77.77,not out,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Khalid Usman,17,14,1,1,121.42,b Mohammad Ilyas,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
Khalid Usman,19,11,2,0,172.72,not out,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
Saad Nasim,5,6,0,0,83.33,c †Mohammad Rizwan b Sohail Tanvir,2017,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars
Saad Nasim,9,4,2,0,225.00,b Wahab Riaz,2017,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Saad Nasim,4,6,0,0,66.66,c Iftikhar Ahmed b Wahab Riaz,2017,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Saad Nasim,35,18,4,2,194.44,b Usman Shinwari,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Saad Nasim,17,8,2,1,212.50,not out,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Saad Nasim,9,13,1,0,69.23,c Perera b Hassan Khan,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Saad Nasim,2,5,0,0,40.00,run out (†Mohammad Rizwan/Mills),2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
Saad Nasim,2,3,0,0,66.66,c & b Hussain Talat,2018,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Rafatullah Mohmand,11,8,1,1,137.50,c †Kamran Akmal b Junaid Khan,2017,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Rafatullah Mohmand,18,13,0,2,138.46,c †Mohammad Rizwan b Aamer Yamin,2017,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Rafatullah Mohmand,17,16,1,1,106.25,c Zulfiqar Babar b Perera,2017,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators
Amad Butt,1,1,0,0,100.00,not out,2017,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi
Amad Butt,17,16,1,1,106.25,c McCullum b Sohail Tanvir,2017,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars
Amad Butt,7,8,1,0,87.50,b Sohail Khan,2017,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Amad Butt,13,14,1,0,92.85,not out,2018,Sharjah Cricket Stadium,Islamabad United,Karachi Kings
Amad Butt,0,1,0,0,0.00,lbw b Sohail Khan,2020,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Amad Butt,8,4,0,1,200.00,c †Vilas b Shaheen Shah Afridi,2020,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Amad Butt,6,4,0,1,150.00,c †Sarfaraz Ahmed b Mills,2020,Rawalpindi Cricket Stadium,Islamabad United,Quetta Gladiators
Amad Butt,23,11,1,2,209.09,not out,2021,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
Amad Butt,8,8,0,1,100.00,run out (Vince/†Zeeshan Ashraf),2020,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
Amad Butt,0,1,0,0,0.00,c Ahmed Shehzad b Sohail Tanvir,2019,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Quetta Gladiators
Amad Butt,27,7,3,2,385.71,not out,2021,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Amad Butt,7,6,1,0,116.66,c †Mohammad Rizwan b Imran Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
Amad Butt,1,1,0,0,100.00,not out,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
Amad Butt,9,6,1,0,150.00,c Brook b Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
Kamran Ghulam,9,12,0,0,75.00,c Anwar Ali b Elliott,2016,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators
Kamran Ghulam,3,6,0,0,50.00,b Ihsanullah,2023,Multan Cricket Stadium,Lahore Qalandars,Multan Sultans
Kamran Ghulam,43,31,2,3,138.70,c Shahnawaz Dahani b Willey,2022,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Kamran Ghulam,6,9,1,0,66.66,c Mohammad Nabi b Umaid Asif,2022,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Kamran Ghulam,30,23,3,1,130.43,c Shoaib Malik b Salman Irshad,2022,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Kamran Ghulam,23,22,3,0,104.54,c Shoaib Malik b Akif Javed,2023,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Kamran Ghulam,21,17,2,0,123.52,st †Sarfaraz Ahmed b Qais Ahmad,2023,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Kamran Ghulam,1,4,0,0,25.00,c Munro b Mubasir Khan,2022,"National Stadium, Karachi",Lahore Qalandars,Islamabad United
Kamran Ghulam,19,13,0,2,146.15,c Vince b Iftikhar Ahmed,2022,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Kamran Ghulam,42,38,6,0,110.52,c Shahnawaz Dahani b Abbas Afridi,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Kamran Ghulam,55,39,4,1,141.02,not out,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Kamran Ghulam,12,9,2,0,133.33,c Tayyab Tahir b Faisal Akram,2024,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Kamran Ghulam,13,15,1,0,86.66,c Qasim Akram b Imad Wasim,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Kamran Ghulam,0,2,0,0,0.00,lbw b Faheem Ashraf,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Kamran Ghulam,41,30,4,2,136.66,c Faheem Ashraf b Mohammad Wasim,2023,Rawalpindi Cricket Stadium,Lahore Qalandars,Islamabad United
Kamran Ghulam,25,18,3,1,138.88,c Mohammad Haris b Arshad Iqbal,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Kamran Ghulam,20,17,2,0,117.64,run out (Shan Masood/†Mohammad Rizwan),2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Kamran Ghulam,11,10,0,1,110.00,b Akif Javed,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Kamran Ghulam,30,26,3,1,115.38,c Jacks b Shadab Khan,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Kamran Ghulam,15,20,0,0,75.00,c David b Asif Afridi,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
